ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block
311,0.01684653,9.201546,10.82573,False,0
312,0.01628503,9.327612,9.977957,False,0
313,0.01669122,9.205431,9.912346,False,0
314,0.0164417,9.010487,9.823711,False,0
315,0.016568,8.704885,9.697284,False,0
316,0.01697589,8.520464,9.554606,False,0
317,0.01615601,8.167291,8.71855,False,0
318,0.01684482,8.479846,8.985703,False,0
319,0.01628811,8.687132,9.013081,False,0
320,0.01668644,8.82401,8.963746,False,0
321,0.01700934,8.883674,8.5702,False,0
322,0.01600446,8.952648,8.317698,False,0
323,0.0169718,9.116282,8.148301,False,0
324,0.01616113,9.256823,7.799434,False,0
325,0.01684107,9.559462,7.666696,False,0
326,0.01629254,10.03007,7.775364,False,0
327,0.01668337,9.188231,8.087817,False,0
328,0.0169974,15.10582,14.91315,False,0
329,0.01601947,22.6536,21.86056,False,0
330,0.01696804,30.24245,27.23551,False,0
331,0.01616488,34.51044,30.58396,False,0
332,0.01682468,35.13694,32.62254,False,0
333,0.01630893,34.29626,eye closed,False,0
334,0.01668098,33.76471,eye closed,False,0
335,0.01645331,32.91379,32.35569,False,0
336,0.01656698,32.5087,32.12361,False,0
337,0.01656595,31.47937,31.91645,False,0
338,0.01656595,30.74573,31.98062,False,0
339,0.01682195,30.16439,32.03113,False,0
340,0.01631234,28.87414,31.79377,False,0
341,0.01668098,28.44521,31.54733,False,0
342,0.01699671,27.59287,31.14701,False,0
343,0.01602186,26.77355,30.6183,False,0
344,0.01656663,25.98922,30.10544,False,0
345,0.01656629,25.40196,29.58977,False,0
346,0.01682229,24.60108,24.09738,False,0
347,0.016312,24.2084,23.81219,False,0
348,0.01667381,23.72556,23.62419,False,0
349,0.01646014,23.41043,23.50567,False,0
350,0.01656561,23.11438,23.40517,False,0
351,0.01698852,22.86944,23.35972,False,0
352,0.01614509,22.71422,23.31564,False,0
353,0.01681512,22.53645,23.26052,False,0
354,0.0169933,22.45761,23.20026,False,0
355,0.0159949,22.33478,23.31319,False,0
356,0.01646218,22.2428,23.3118,False,0
357,0.01656663,21.90149,23.23194,False,0
358,0.01697009,21.81841,23.08589,False,0
359,0.01698272,21.72907,23.01131,False,0
360,0.01599114,21.66314,22.95356,False,0
361,0.01700798,21.64742,22.90907,False,0
362,0.0158826,21.59056,22.89102,False,0
363,0.01709365,21.60566,22.91413,False,0
364,0.01603927,21.65707,22.97836,False,0
365,0.01695268,14.35435,16.28821,False,0
366,0.01618161,9.886363,13.65325,False,0
367,0.01680796,14.07895,15.60996,False,0
368,0.01699501,20.67364,21.35088,False,0
369,0.01599285,25.61819,27.71596,False,0
370,0.01701139,29.8849,31.96495,False,0
371,0.01602596,30.81491,34.49651,False,0
372,0.01656732,32.84369,37.57131,False,0
373,0.01656698,33.2492,38.46679,False,0
374,0.01701105,33.27065,38.26232,False,0
375,0.01678713,33.34562,38.14862,False,0
376,0.01634818,33.20892,37.9211,False,0
377,0.01663831,33.09254,37.69975,False,0
378,0.01699637,32.86453,37.44891,False,0
379,0.01606453,32.65662,37.18422,False,0
380,0.016568,32.36666,36.90971,False,0
381,0.01656629,32.19955,36.67536,False,0
382,0.01678167,31.94965,36.3597,False,0
383,0.01699159,31.77258,36.10023,False,0
384,0.01599456,31.59202,35.82004,False,0
385,0.01649837,31.39131,35.55494,False,0
386,0.01656629,31.25113,35.35437,False,0
387,0.01656663,31.25367,35.1106,False,0
388,0.01734692,31.07708,34.81731,False,0
389,0.01599387,31.16344,34.58229,False,0
390,0.0169974,31.13816,34.42808,False,0
391,0.01600685,30.99887,34.26998,False,0
392,0.01648881,30.87338,34.14427,False,0
393,0.01656663,30.74444,34.02449,False,0
394,0.01656663,30.62098,33.90493,False,0
395,0.01656698,30.49532,33.76033,False,0
396,0.01677177,30.40711,33.66828,False,0
397,0.01636217,30.35165,33.60377,False,0
398,0.01664548,30.32245,33.53542,False,0
399,0.01698852,30.29447,33.47762,False,0
400,0.01606521,30.23278,33.42275,False,0
401,0.01692401,30.19635,33.39314,False,0
402,0.01620857,30.16793,33.38802,False,0
403,0.0167844,30.14095,33.41475,False,0
404,0.0163492,30.15409,33.45091,False,0
405,0.01662364,30.159,33.4927,False,0
406,0.01650929,29.74076,33.49669,False,0
407,0.01656698,20.47176,24.20427,False,0
408,0.01656629,18.26537,18.85208,False,0
409,0.01656698,10.17645,8.688104,False,0
410,0.01677007,10.14966,8.770664,False,0
411,0.01636388,10.11243,8.798751,False,0
412,0.01661886,10.04788,8.880423,False,0
413,0.01651407,10.06417,8.97045,False,0
414,0.01747629,9.980776,9.001368,False,0
415,0.01599626,9.988358,9.10129,False,0
416,0.01622837,9.796933,9.114752,False,0
417,0.01675983,9.824271,9.145658,False,0
418,0.0169974,9.857041,9.213071,False,0
419,0.01599285,9.945127,9.310381,False,0
420,0.01651577,10.00309,9.399921,False,0
421,0.01656698,10.04185,9.444189,False,0
422,0.01656698,10.09567,9.530607,False,0
423,0.01732815,10.09091,9.592205,False,0
424,0.01599831,10.12079,9.59575,False,0
425,0.01637276,10.13085,9.60128,False,0
