ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block,On Target
204,0.01656323,54.55844,eye closed,,,Not looking at Target
205,0.01656698,54.04699,eye closed,,,Not looking at Target
206,0.01685097,53.36702,eye closed,,,Not looking at Target
207,0.01628265,52.63607,eye closed,,,Not looking at Target
208,0.01670863,51.88213,eye closed,,,Not looking at Target
209,0.01699467,51.37333,eye closed,,,Not looking at Target
210,0.03324728,50.16517,eye closed,,,Not looking at Target
211,0.01675028,eye closed,eye closed,,,Not looking at Target
212,0.01638368,eye closed,eye closed,,,Not looking at Target
213,0.01659156,eye closed,eye closed,,,Not looking at Target
214,0.01654206,eye closed,eye closed,,,Not looking at Target
215,0.01656664,eye closed,eye closed,,,Not looking at Target
216,0.01687418,eye closed,eye closed,,,Not looking at Target
217,0.01625944,eye closed,68.05856,,,Not looking at Target
218,0.01672741,eye closed,67.06736,,,Not looking at Target
219,0.01640621,eye closed,65.70572,,,Not looking at Target
220,0.0165878,eye closed,64.01674,,,Not looking at Target
221,0.01699126,eye closed,eye closed,,,Not looking at Target
222,0.01612086,eye closed,eye closed,,,Not looking at Target
223,0.01688442,eye closed,eye closed,,,Not looking at Target
224,0.01624851,eye closed,eye closed,,,Not looking at Target
225,0.0167257,eye closed,eye closed,,,Not looking at Target
226,0.01640758,eye closed,eye closed,,,Not looking at Target
227,0.01658439,eye closed,eye closed,,,Not looking at Target
228,0.01700525,eye closed,eye closed,,,Not looking at Target
229,0.01611027,eye closed,eye closed,,,Not looking at Target
230,0.01656698,eye closed,eye closed,,,Not looking at Target
231,0.0165663,eye closed,eye closed,,,Not looking at Target
232,0.01672502,eye closed,eye closed,,,Not looking at Target
233,0.01699262,eye closed,eye closed,,,Not looking at Target
234,0.01599764,eye closed,eye closed,,,Not looking at Target
235,0.01655162,eye closed,eye closed,,,Not looking at Target
236,0.0174367,eye closed,eye closed,,,Not looking at Target
237,0.01569658,eye closed,eye closed,,,Not looking at Target
238,0.0165663,eye closed,eye closed,,,Not looking at Target
239,0.0167199,eye closed,eye closed,,,Not looking at Target
240,0.01641372,eye closed,eye closed,,,Not looking at Target
241,0.01657347,eye closed,eye closed,,,Not looking at Target
242,0.01655981,eye closed,eye closed,,,Not looking at Target
243,0.01656664,eye closed,eye closed,,,Not looking at Target
244,0.01687657,eye closed,eye closed,,,Not looking at Target
245,0.01625773,eye closed,eye closed,,,Looking at Target
246,0.01671785,eye closed,eye closed,,,Looking at Target
247,0.01641509,eye closed,eye closed,,,Looking at Target
248,0.01657483,eye closed,eye closed,,,Not looking at Target
249,0.01698921,eye closed,eye closed,,,Looking at Target
250,0.01613622,eye closed,eye closed,,,Not looking at Target
251,0.01656732,31.37173,eye closed,,,Not looking at Target
252,0.01729846,30.64517,eye closed,,,Not looking at Target
253,0.01599695,eye closed,eye closed,,,Not looking at Target
254,0.01640382,eye closed,eye closed,,,Not looking at Target
255,0.01656971,eye closed,eye closed,,,Not looking at Target
256,0.01700696,eye closed,eye closed,,,Not looking at Target
257,0.01612393,eye closed,eye closed,,,Not looking at Target
258,0.0165663,eye closed,eye closed,,,Not looking at Target
259,0.01656664,eye closed,eye closed,,,Not looking at Target
260,0.01670693,eye closed,eye closed,,,Not looking at Target
261,0.01642806,eye closed,eye closed,,,Not looking at Target
262,0.01656459,eye closed,eye closed,,,Not looking at Target
263,0.01699194,eye closed,eye closed,,,Not looking at Target

